epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1574.15,0.77766,1.30131,0.77116,1.24079,0.90011,0.76068,0.88451,0.71006,0.87888,0.77966,0.88465,0.69633,0.7103,1.34529,0.73953,1.22889,0.000713,0.000713,0.000713
41,1611.02,0.77082,1.29966,0.77512,1.23062,0.86646,0.79223,0.87865,0.70202,0.85499,0.8022,0.87551,0.68645,0.70964,1.40524,0.74127,1.23793,0.00068,0.00068,0.00068
42,1648.17,0.78232,1.28867,0.77303,1.241,0.86571,0.81807,0.88507,0.70913,0.87255,0.82662,0.8908,0.69627,0.71033,1.35917,0.74019,1.23048,0.000647,0.000647,0.000647
43,1685.21,0.77374,1.26957,0.76875,1.23033,0.8575,0.81197,0.89006,0.71782,0.85923,0.81981,0.89132,0.70569,0.69951,1.31621,0.71804,1.21289,0.000614,0.000614,0.000614
44,1722.1,0.77318,1.24421,0.75548,1.23086,0.87752,0.79853,0.89561,0.72382,0.87434,0.79976,0.89212,0.70434,0.7063,1.32823,0.70587,1.22076,0.000581,0.000581,0.000581
45,1758.83,0.75135,1.23774,0.73852,1.21351,0.8523,0.83761,0.89604,0.73342,0.85241,0.83214,0.89243,0.71018,0.69384,1.35105,0.67393,1.20953,0.000548,0.000548,0.000548
46,1795.6,0.75461,1.21927,0.74403,1.22011,0.88642,0.81441,0.90392,0.7364,0.86666,0.83394,0.90531,0.71756,0.6843,1.28152,0.67987,1.20022,0.000515,0.000515,0.000515
47,1832.49,0.74361,1.21615,0.72601,1.21147,0.89485,0.81441,0.90075,0.73492,0.89009,0.82418,0.90114,0.71697,0.68635,1.30426,0.66524,1.20992,0.000482,0.000482,0.000482
48,1869.54,0.72281,1.17961,0.71728,1.19647,0.89115,0.81563,0.90164,0.74158,0.88064,0.83778,0.9064,0.72507,0.67406,1.28481,0.67006,1.1961,0.000449,0.000449,0.000449
49,1907.22,0.74495,1.22941,0.72485,1.21057,0.89469,0.81953,0.90344,0.73856,0.89262,0.83394,0.90622,0.72208,0.66864,1.27161,0.66641,1.19098,0.000416,0.000416,0.000416
50,1944.66,0.7161,1.14626,0.70192,1.18367,0.87953,0.84371,0.91448,0.74542,0.87746,0.84493,0.91142,0.72793,0.66501,1.27754,0.63354,1.18658,0.000383,0.000383,0.000383
51,1988.14,0.66091,1.13698,0.66304,1.16635,0.88558,0.83163,0.90863,0.74599,0.87837,0.85104,0.90594,0.72871,0.67107,1.26644,0.64442,1.18994,0.00035,0.00035,0.00035
52,2026.77,0.63806,1.07291,0.62118,1.14685,0.87235,0.84737,0.91486,0.74865,0.87779,0.85226,0.91458,0.73082,0.67108,1.29551,0.63788,1.19283,0.000317,0.000317,0.000317
53,2063.34,0.62317,1.05798,0.61158,1.14013,0.88508,0.84371,0.91785,0.75503,0.88561,0.86022,0.92024,0.74427,0.65323,1.24429,0.61358,1.17257,0.000284,0.000284,0.000284
54,2100.37,0.62554,1.03825,0.6067,1.13444,0.90283,0.84737,0.92272,0.76412,0.90273,0.86203,0.92093,0.75409,0.64248,1.18732,0.57991,1.15904,0.000251,0.000251,0.000251
55,2137.39,0.61987,1.033,0.59465,1.12659,0.90385,0.8486,0.92169,0.76477,0.88988,0.87424,0.92366,0.74923,0.65181,1.2116,0.59333,1.16693,0.000218,0.000218,0.000218
56,2174.38,0.60958,1.00967,0.5834,1.12414,0.89911,0.83394,0.92046,0.76673,0.8858,0.86325,0.92138,0.74684,0.64184,1.22099,0.5854,1.15876,0.000185,0.000185,0.000185
57,2211.26,0.60443,1.01011,0.57512,1.11603,0.90179,0.85714,0.92516,0.76649,0.90787,0.86628,0.92442,0.75333,0.64119,1.19715,0.56503,1.16061,0.000152,0.000152,0.000152
58,2248.27,0.59764,0.98882,0.57171,1.11719,0.89905,0.85901,0.92118,0.76865,0.90902,0.86935,0.92374,0.75486,0.63327,1.19058,0.56883,1.14982,0.000119,0.000119,0.000119
59,2289.58,0.5898,0.97078,0.56598,1.1072,0.9121,0.84737,0.9222,0.76818,0.90317,0.86569,0.92244,0.75506,0.64175,1.18815,0.56874,1.1577,8.6e-05,8.6e-05,8.6e-05
60,2326.57,0.58863,0.95925,0.56434,1.10884,0.90167,0.85091,0.92357,0.77232,0.90979,0.86569,0.92819,0.76015,0.63524,1.17266,0.56455,1.15262,5.3e-05,5.3e-05,5.3e-05
